path,speakerId,transcription,action,object,location,Self-reported fluency level ,First Language spoken,Current language used for work/school,gender,ageRange,prediction,total_silence,total_duration,trimmed_duration,n_words,speed_rate_word,speed_rate_word_trimmed
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/cbdf5700-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn on the lights,activate,lights,none,native,English (United States),English (United States),female,22-40,1,2.1109999999999998,3.157,1.052,4,0.78925,0.263
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/cff92500-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn off the lights,deactivate,lights,none,native,English (United States),English (United States),female,22-40,1,2.1049999999999995,3.243,1.1489999999999998,4,0.81075,0.28724999999999995
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/d36722a0-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Change language,change language,none,none,native,English (United States),English (United States),female,22-40,1,1.774,2.731,0.9840000000000001,2,1.3655,0.49200000000000005
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/d73086b0-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Pause the music,deactivate,music,none,native,English (United States),English (United States),female,22-40,1,2.412,3.328,0.971,3,1.1093333333333333,0.32366666666666666
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/da54f830-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Resume,activate,music,none,native,English (United States),English (United States),female,22-40,1,1.8159999999999998,2.389,0.5860000000000001,1,2.389,0.5860000000000001
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/ddb1b7c0-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Volume down,decrease,volume,none,native,English (United States),English (United States),female,22-40,1,2.129,2.901,0.815,2,1.4505,0.4075
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/e1501430-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the lights on,activate,lights,none,native,English (United States),English (United States),female,22-40,1,2.258,3.243,2.104,4,0.81075,0.526
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/e4ccb7d0-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Switch on the lights,activate,lights,none,native,English (United States),English (United States),female,22-40,1,1.826,2.987,2.2270000000000003,4,0.74675,0.5567500000000001
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/e7a3f3b0-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Lights on,activate,lights,none,native,English (United States),English (United States),female,22-40,1,1.7159999999999997,2.389,0.684,2,1.1945,0.342
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/eb51e080-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Switch off the lights,deactivate,lights,none,native,English (United States),English (United States),female,22-40,1,2.167,3.328,1.173,4,0.832,0.29325
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/eeac7d30-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the lights off,deactivate,lights,none,native,English (United States),English (United States),female,22-40,1,2.0700000000000003,2.987,0.947,4,0.74675,0.23675
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/f2237b80-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Lights off,deactivate,lights,none,native,English (United States),English (United States),female,22-40,1,2.016,2.731,0.7709999999999999,2,1.3655,0.38549999999999995
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/f56a6920-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Volume up,increase,volume,none,native,English (United States),English (United States),female,22-40,1,2.105,2.816,0.746,2,1.408,0.373
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/fa06ad90-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn up the volume,increase,volume,none,native,English (United States),English (United States),female,22-40,0,2.375,3.243,0.8769999999999999,4,0.81075,0.21924999999999997
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/fdb361e0-452c-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the volume up,increase,volume,none,native,English (United States),English (United States),female,22-40,1,2.4059999999999997,3.413,1.0379999999999998,4,0.85325,0.25949999999999995
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/01f180c0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Make the music louder,increase,volume,none,native,English (United States),English (United States),female,22-40,1,1.976,3.072,1.113,4,0.768,0.27825
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/0547b0a0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn down the volume,decrease,volume,none,native,English (United States),English (United States),female,22-40,1,1.911,2.901,1.998,4,0.72525,0.4995
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/08f2b740-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the volume down,decrease,volume,none,native,English (United States),English (United States),female,22-40,1,2.4,3.413,1.024,4,0.85325,0.256
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/0cd45e40-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Make the music softer,decrease,volume,none,native,English (United States),English (United States),female,22-40,0,2.295,3.499,1.22,4,0.87475,0.305
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/10833570-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn up the temperature,increase,heat,none,native,English (United States),English (United States),female,22-40,1,2.286,3.328,1.061,4,0.832,0.26525
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/13d2ae90-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the temperature up,increase,heat,none,native,English (United States),English (United States),female,22-40,1,1.9509999999999996,2.901,0.9610000000000001,4,0.72525,0.24025000000000002
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/175349d0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn up the heat,increase,heat,none,native,English (United States),English (United States),female,22-40,1,2.483,3.157,1.7369999999999999,4,0.78925,0.43424999999999997
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/1a316380-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the heat up,increase,heat,none,native,English (United States),English (United States),female,22-40,1,1.755,2.389,0.651,4,0.59725,0.16275
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/1dbb4d90-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn down the temperature,decrease,heat,none,native,English (United States),English (United States),female,22-40,1,1.7009999999999996,2.816,1.1440000000000001,4,0.704,0.28600000000000003
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/21a5a720-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the temperature down,decrease,heat,none,native,English (United States),English (United States),female,22-40,0,2.2929999999999997,3.413,1.141,4,0.85325,0.28525
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/2518d4e0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn down the heat,decrease,heat,none,native,English (United States),English (United States),female,22-40,1,2.2110000000000003,2.987,0.7919999999999999,4,0.74675,0.19799999999999998
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/2882b3d0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the heat down,decrease,heat,none,native,English (United States),English (United States),female,22-40,1,2.221,3.157,0.946,4,0.78925,0.2365
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/2c49f500-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn off the music,deactivate,music,none,native,English (United States),English (United States),female,22-40,1,2.493,3.499,1.0410000000000001,4,0.87475,0.26025000000000004
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/2f671380-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Stop the music,deactivate,music,none,native,English (United States),English (United States),female,22-40,1,1.912,2.901,1.009,3,0.967,0.3363333333333333
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/321802b0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Play,activate,music,none,native,English (United States),English (United States),female,22-40,1,1.8419999999999999,2.219,0.4089999999999999,1,2.219,0.4089999999999999
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/35a59640-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Put on the music,activate,music,none,native,English (United States),English (United States),female,22-40,1,2.299,3.328,1.053,4,0.832,0.26325
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/38e8b350-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Play the music,activate,music,none,native,English (United States),English (United States),female,22-40,1,2.088,2.987,0.958,3,0.9956666666666667,0.3193333333333333
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/3c6cd100-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Start the music,activate,music,none,native,English (United States),English (United States),female,22-40,1,2.2439999999999998,3.243,1.024,3,1.081,0.3413333333333333
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/3f7a8630-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn on the lamp,activate,lamp,none,native,English (United States),English (United States),female,22-40,1,1.9299999999999997,2.816,0.927,4,0.704,0.23175
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/43239100-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Switch on the lamp,activate,lamp,none,native,English (United States),English (United States),female,22-40,1,2.229,3.328,1.1430000000000002,4,0.832,0.28575000000000006
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/46aa94e0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the lamp on,activate,lamp,none,native,English (United States),English (United States),female,22-40,1,1.979,2.987,1.835,4,0.74675,0.45875
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/49a02e30-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Lamp on,activate,lamp,none,native,English (United States),English (United States),female,22-40,1,1.9209999999999998,2.56,0.654,2,1.28,0.327
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/4d353bd0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn off the lamp,deactivate,lamp,none,native,English (United States),English (United States),female,22-40,1,2.4019999999999997,3.328,0.97,4,0.832,0.2425
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/50cc9360-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the lamp off,deactivate,lamp,none,native,English (United States),English (United States),female,22-40,1,2.4509999999999996,3.413,0.9769999999999999,4,0.85325,0.24424999999999997
fluent_speech_commands_dataset/wavs/speakers/4BrX8aDqK2cLZRYl/53eaea60-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Switch off the lamp,deactivate,lamp,none,native,English (United States),English (United States),female,22-40,1,1.6219999999999999,2.56,0.9460000000000001,4,0.64,0.23650000000000002
